Country ,Year,Access to electricity (% of population),Agricultural land (% of land area),Arable land (% of land area),Average supply of protein of animal origin (g/cap/day),CO2 emissions by sector (Mt CO2 eq) - Building,CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,CO2 emissions by sector (Mt CO2 eq) - Energy,CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,CO2 emissions by sector (Mt CO2 eq) - Transportation,CO2 emissions per dollar of manufacturing value added (kgCO2 per constant 2010 US$),Coal rents (% of GDP),Comparative advantage in environmental goods (index),Energy intensity of the economy (kWh per 2011$PPP),Food GHG emissions by system stage (Share of total) - Consumption,Food GHG emissions by system stage (Share of total) - End_of_Life,Food GHG emissions by system stage (Share of total) - LULUC (Production),Food GHG emissions by system stage (Share of total) - Packaging,Food GHG emissions by system stage (Share of total) - Processing,Food GHG emissions by system stage (Share of total) - Production,Food GHG emissions by system stage (Share of total) - Retail,Food GHG emissions by system stage (Share of total) - Transport,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"GHG emissions from food systems, by gas (Mt CO2 eq) - CO2","GHG emissions from food systems, by gas (Mt CO2 eq) - Methane","GHG emissions from food systems, by gas (Mt CO2 eq) - N2O",GHG growth (annual %),Government Effectiveness: Estimate,"Labor force, female (% of total labor force)",Mineral rents (% of GDP),Natural gas rents (% of GDP),Net food imports by crop - Barley,Net food imports by crop - Maize,"Net food imports by crop - Rice, milled","Net food imports by crop - Rice, paddy (rice milled equivalent)",Net food imports by crop - Soybeans,Net food imports by crop - Wheat,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Agriculture,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Energy,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Fugitive Emissions,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Industrial Processes,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Other Fuel Combustion,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Total including LUCF,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Waste,Oil rents (% of GDP),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Per capita daily coal consumption (short tons per capita per day),Per capita daily gas consumption (thousand cubic feet per capita per day),Per capita daily oil consumption (barrels per capita per day),Per capita GHG emissions (tons/capita),Political Stability and Absence of Violence/Terrorism: Estimate,"Population, total",Proportion of seats held by women in national parliaments (%),Regulatory Quality: Estimate,Rule of Law: Estimate,Share of surface occupied by forest (% of total),Tax revenue (% of GDP),Total GHG emissions by sector (Mt CO2 eq) - Agriculture,Total GHG emissions by sector (Mt CO2 eq) - Building,Total GHG emissions by sector (Mt CO2 eq) - Bunker Fuels,Total GHG emissions by sector (Mt CO2 eq) - Electricity/Heat,Total GHG emissions by sector (Mt CO2 eq) - Energy,Total GHG emissions by sector (Mt CO2 eq) - Fugitive Emissions,Total GHG emissions by sector (Mt CO2 eq) - Industrial Processes,Total GHG emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,Total GHG emissions by sector (Mt CO2 eq) - Manufacturing/Construction,Total GHG emissions by sector (Mt CO2 eq) - Other Fuel Combustion,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,Total GHG emissions by sector (Mt CO2 eq) - Total including LUCF,Total GHG emissions by sector (Mt CO2 eq) - Transportation,Total GHG emissions by sector (Mt CO2 eq) - Waste,Total natural resources rents (% of GDP),Trade in environmental goods as share of total exports (%),Trade in environmental goods as share of total imports (%),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Voice and Accountability: Estimate,,,
India,2006,67.9,60.50941918,53.36423168,9.7,81.35,34.48,638.85,1150.02,1.64,64.23,4.97,260.24,47.3,1214.25,1219.23,120.65,1.44,1.097788817,0.506848451,1.427,2.311664918,15.13434209,1.135711978,3.529952723,1.00822074,75.0911504,0.362012636,1.426944513,9.4026E+11,8.060732573,806.7532806,168340.0524,673149.017,128912.2927,4.85,-0.0983199,25.74275097,1.01880919,0.148632833,-832,1168,-670,-670,-496,6078723,662.47,107.43,48.47,12.17,3.13,58.96,851.32,854.45,69.26,1.389688817,83.65179214,31.24230559,..,0.001175635,0.003220171,0.002277162,1.78,-1.063722,1165486291,8.256880734,-0.2798955,0.1773311,23.11793057,11.12933705,662.47,81.35,34.48,638.85,1257.45,50.11,76.4,8.1,260.24,106.26,2065.57,2073.67,120.65,69.25,3.936968285,0.019671062,0.030545558,5.52,29.569,0.4371937,,,
India,2007,70.13076019,60.4132262,53.14897467,10.3,83.34,33.52,701.16,1267.59,1.64,68.51,4.97,294.8,43.67,1336.1,1341.07,142.98,1.5,1.183737893,0.524035925,1.402,2.303613383,14.94428689,1.336258747,3.80071936,1.032214142,74.52649591,0.377564882,1.678846692,1.21674E+12,7.660815065,1028.334772,179972.9403,686736.5266,132941.3668,7.04,0.1219054,25.0610008,1.700490275,0.085956171,-347540,-343563,-347691,-347691,-347807,2329997,679.66,110.32,50.92,12.64,5.41,59.4,873.14,878.55,70.52,1.185832764,84.16605196,34.01546073,..,0.001230738,0.003382091,0.002411533,1.88,-1.151811,1183209471,9.057301294,-0.3048282,0.0937817,23.18200317,12.10834699,679.66,83.34,33.52,701.16,1377.91,52.56,81.15,10.38,294.8,103.07,2209.24,2219.62,142.98,70.53,4.457773677,0.021385334,0.03365822,5.41,29.906,0.4539639,,,
India,2008,71.6510849,60.45930465,53.13989352,10.7,85.39,31.2,721.88,1350.8,1.64,73.08,4.97,308.18,70.49,1423.88,1428.85,163.21,1.56,2.845080212,0.574532271,1.295,2.337431656,15.10194982,1.080365811,3.581828212,1.017229482,74.57387458,0.395335775,1.911984661,1.1989E+12,3.08669806,998.5223415,178987.4778,692802.4152,135662.1935,4.41,-0.0191939,24.3762267,2.27975229,0.080400512,-164407,-159545,-166740,-166740,-166787,-166805,687.34,113.2,53.36,13.11,3.17,59.84,885.46,888.63,71.8,1.596356958,84.67634135,36.80268608,..,0.00124344,0.003464258,0.002456946,1.93,-1.107512,1200669762,9.057301294,-0.389451,0.0860389,23.24607576,10.97717215,687.34,85.39,31.2,721.88,1464.01,55,86.19,8.14,308.18,130.34,2309.34,2317.48,163.21,71.8,7.100894043,0.023354059,0.029830434,5.36,30.246,0.4621931,,,
India,2009,75,60.56390611,53.11601344,11,89.57,33.57,789.51,1483.48,1.86,85.05,4.98,355.6,68.24,1568.53,1573.51,178.71,1.65,1.389415438,0.505046747,1.311,2.39216479,15.036269,2.011392249,3.80072343,1.046679742,73.20076895,0.449813421,2.062188414,1.34189E+12,7.861888833,1101.960838,203817.9478,687165.8268,138321.6185,6.49,-0.0124214,23.70396794,0.93637579,0.12132141,-50839,-32087,-51158,-51158,-51173,113159,681.39,116.09,55.8,13.58,10.13,60.29,884.13,894.26,73.07,0.677677975,85.18237554,39.60301534,..,0.001234187,0.004235702,0.002479445,2.03,-1.353806,1217726217,10.82568807,-0.3267712,0.013824,23.31014836,9.809725406,681.39,89.57,33.57,789.51,1599.57,57.66,98.63,15.12,355.6,128.53,2452.66,2467.78,178.71,73.07,3.383993431,0.021299498,0.034284877,5.61,30.587,0.4606846,,,
India,2010,76.3,60.39741826,52.80826318,11,92.71,36.07,819.68,1573.95,1.81,91.37,4.98,398.01,68.81,1665.31,1670.29,192.92,1.72,1.637103828,0.511294888,1.226,2.421281762,15.03220606,1.86521358,3.829627686,1.191031564,72.9772992,0.481936109,2.201404035,1.67562E+12,8.497584702,1357.563727,211174.9823,693913.7834,141807.8366,4.42,0.0258973,23.03253742,1.513156657,0.104213538,-31088,-26088,-33043,-33043,-33133,152117,691.43,118.99,58.25,14.05,7.81,60.74,898.81,906.63,74.34,0.811983564,85.68425222,42.41651879,66.89906807,0.001283461,0.005055273,0.002545585,2.09,-1.277984,1234281163,10.82568807,-0.3786293,-0.0373795,23.37422095,10.38803979,691.44,92.71,36.07,819.68,1692.93,60.05,105.42,12.8,398.01,129.54,2564.13,2576.93,192.92,74.34,4.443014279,0.021610339,0.029009967,5.65,30.93,0.4432724,,,
India,2011,67.6,60.43004315,52.79817301,11.3,96.72,38.78,860.23,1664.31,1.7,96.49,-64.83,443.4,52.97,1760.8,1695.97,209.3,1.81,2.020306204,0.426447857,1.168,2.456492032,15.02556584,1.308999108,4.151939191,1.284156187,72.91409978,0.51386188,2.344885979,1.82305E+12,5.241315001,1458.104066,217390.8968,701246.0784,144498.8908,1.3,0.0059228,22.11797747,1.423785358,0.168701655,-44023,-32478,-43646,-43646,-44618,-44714,701.81,118.22,57.34,14.91,3.95,60.87,910.4,914.34,75.45,1.342550987,86.18204472,45.24319673,66.97611902,0.001294502,0.004953405,0.002576205,2.09,-1.326795,1250287939,11.00917431,-0.3445381,-0.0906831,23.46382169,10.1773872,701.81,96.72,38.78,860.23,1782.53,59.04,111.41,-60.88,443.4,113.84,2671.2,2610.32,209.3,75.45,5.306815147,0.017716063,0.030194785,5.65,31.276,0.4358186,,,
India,2012,79.9,60.42062566,52.65253818,11.7,97.46,39.85,989.12,1807.17,1.91,101.4,-64.83,431.78,65.39,1908.57,1843.74,221.52,1.66,1.490725928,0.447946243,1.163,2.452726073,14.88281945,1.859131124,5.123485743,1.2449921,71.47870516,0.528778172,2.429362179,1.82764E+12,5.456388753,1443.882435,244889.7379,701434.8162,142656.322,5.68,-0.1710446,21.22676722,0.765650626,0.141898661,-82172,-114927,-116815,-116814,-116516,-115784,695.63,117.45,56.44,15.78,9.36,61.01,905.42,914.78,76.56,1.303833464,86.67656079,48.08510146,67.05584145,0.001299554,0.004557211,0.002684505,2.18,-1.28931,1265780243,11.00917431,-0.4727815,-0.0719577,23.55342242,10.83677172,695.63,97.46,39.85,989.12,1924.61,58.35,117.19,-55.47,431.78,126.4,2814,2758.53,221.52,76.56,4.009669884,0.019479981,0.030120568,5.66,31.634,0.3994542,,,
India,2013,80.73804474,60.43946065,52.61755892,11.7,99.59,40.57,1006.04,1862.51,1.53,104.3,-64.83,469.25,59.84,1966.81,1901.98,226.26,1.73,1.211580981,0.472283546,1.174,2.496209637,14.95291769,1.318121722,5.701344815,1.231105561,71.32387638,0.541211585,2.435212618,1.85672E+12,6.386106401,1449.610451,249909.0702,707605.0967,141814.4732,2.1,-0.1717331,21.01879608,0.893952548,0.091860254,-545752,-534624,-544930,-544929,-545502,-534608,698.17,116.68,55.53,16.65,5.33,61.15,909.18,914.51,77.67,1.154074938,87.16750039,50.94117568,67.1380113,0.001312545,0.003965781,0.002672452,2.2,-1.229174,1280842119,11.00917431,-0.4706369,-0.0573845,23.64302315,11.00162569,698.17,99.59,40.57,1006.04,1979.19,57.07,120.95,-59.5,469.25,120.98,2875.98,2816.49,226.26,77.67,3.627618671,0.020313898,0.030202407,5.67,32.003,0.4327801,,,
India,2014,83.58521271,60.44719645,52.62462204,11.7,103.75,40.88,1123.44,2028.87,1.48,108,-64.84,500.41,64.05,2136.87,2072.03,235.75,1.72,0.977394728,0.478141998,1.178,2.578798353,14.8620754,1.25575335,6.149196451,1.362079641,70.76023437,0.559906875,2.471955557,2.03913E+12,7.410227605,1573.885642,266539.7108,711012.3885,143474.6214,6.1,-0.2060476,20.82547582,0.53639429,0.087581142,-502613,-496717,-502207,-501974,-499825,-484884,699.71,115.91,54.63,17.52,4.39,61.28,911.91,916.31,78.78,0.927377893,87.65476481,53.81088813,67.22285792,0.001331576,0.00383413,0.002740034,2.31,-0.997912,1295600768,11.41804788,-0.4477591,-0.0633363,23.73262388,9.984654191,699.71,103.75,40.88,1123.44,2144.78,56.11,125.52,-60.44,500.41,125.33,3048.79,2988.34,235.75,78.78,2.793775459,0.021490228,0.031548994,5.6,32.384,0.413294,,,
India,2015,88,60.43138851,52.6088141,12,107.82,41.48,1103.23,2038.42,1.53,111.8,-64.84,503.78,64.3,2150.22,2085.38,257.75,1.52,0.760087154,0.538022492,1.13,2.613336846,14.98432067,1.033761187,6.191089885,1.419276121,70.51792084,0.581181897,2.659112553,2.10359E+12,7.996253786,1605.605445,269466.7552,711874.7395,145724.5184,0.46,0.0900683,20.65212255,0.285905213,0.069161772,-81309,-55867,-83024,-83024,-70951,427584,700,115.14,53.73,18.38,3.36,61.42,913.43,916.79,79.89,0.354014207,88.13813263,56.69339984,67.31037222,0.001350395,0.003666085,0.002937063,2.29,-0.9484934,1310152392,11.97053407,-0.3914646,-0.0474092,23.82222461,10.56970905,700.01,107.82,41.48,1103.23,2153.56,55.26,130.19,-61.48,503.78,125.72,3063.65,3002.17,257.75,79.89,1.764172696,0.025641759,0.041088457,5.56,32.777,0.4278702,,,
India,2016,89.53488159,60.43138851,52.6088141,12.7,111.86,43.09,1097.81,2072.68,1.81,110.6,-34.27,525.1,66.71,2183.28,2149.01,269.4,1.47,0.804135881,0.544127802,1.105,..,..,..,..,..,..,..,..,2.2948E+12,8.256305502,1732.554242,..,..,..,2.37,0.0749455,20.49006748,0.35669715,0.034474522,140096,178220,-675,-666,61962,1909172,703.63,115.21,53.47,20,4.41,61.74,919.83,924.24,80.98,0.234217169,88.61740577,59.58787271,67.40056273,0.001368923,0.003950898,0.0031959,2.32,-0.9538398,1324517250,11.97053407,-0.306505,-0.0289695,23.91182535,11.14773842,703.63,111.86,43.09,1097.81,2187.89,55.28,130.61,-29.86,525.1,128.45,3103.11,3073.24,269.4,80.98,1.729645283,0.026508686,0.050135062,5.51,33.182,0.4409836,,,
India,2017,92.45683289,60.43138851,52.6088141,13.3,113.75,45.59,1157.77,2192.53,1.72,108.9,-34.27,558.99,69.07,2301.44,2267.16,291.23,1.48,0.939988105,0.499570519,..,..,..,..,..,..,..,..,..,2.65147E+12,6.795383419,1980.66702,..,..,..,4.22,0.0868715,20.34339284,0.457569725,0.036948621,249386,81664,1015,1066,76943,5345919,709.51,115.29,53.22,21.62,7.17,62.06,928.48,935.65,82.07,0.322149817,89.09243315,62.49361923,67.49364379,0.001397959,0.004006353,0.003384878,2.39,-0.7648019,1338676779,11.80811808,-0.2529919,-0.0012233,24.00142608,11.38744398,709.5,113.75,45.59,1157.77,2307.82,54.94,130.52,-27.1,558.99,131.14,3229.92,3202.82,291.23,82.07,1.962666427,0.025531516,0.044248939,5.41,33.6,0.3870479,,,
India,2018,95.19329834,60.43138851,52.6088141,14,118.84,47.54,1241.34,2309.22,1.44,125.3,-34.27,571.38,70.9,2434.52,2400.25,305.33,..,1.15119017,0.501269224,..,..,..,..,..,..,..,..,..,2.70111E+12,6.532989011,1996.915087,..,..,..,4.49,0.2842539,20.20920814,0.430342229,0.049505714,83585,25689,1009,1228,155887,80069,718.71,115.36,52.97,23.24,5.91,62.39,940.46,946.38,83.16,0.452287397,89.56293708,65.40956223,67.58940082,0.001477263,0.004080067,0.003523141,2.47,-0.9870132,1352642283,11.80811808,-0.2273288,0.0256504,24.09102681,12.02551587,718.7,118.84,47.54,1241.34,2424.58,54.41,148.54,-28.36,571.38,133.28,3374.99,3346.63,305.33,83.17,2.23321722,0.025819304,0.0436382,5.33,34.03,0.3519836,,,
India,2019,97.81528473,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.816504693,0.490688151,..,..,..,..,..,..,..,..,..,2.8705E+12,4.041554187,2100.751461,..,..,..,..,0.1708809,20.31709151,0.643561169,0.033988109,254508,310528,2955,3892,227616,-195,..,..,..,..,..,..,..,..,..,0.361661241,90.02869896,68.33481002,67.68782584,0.001433102,..,..,..,-0.7708004,1366417756,14.39114391,-0.1609437,-0.0304647,24.18062754,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.006413418,0.027154455,0.04633888,5.27,34.472,0.2690398,,,
India,2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.62298E+12,-7.964610411,1900.70681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.48952503,71.26847596,67.78892869,..,..,..,..,..,1380004385,14.36464088,..,..,24.27022827,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.11,34.926,..,,,
India,2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1393409000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.393,..,,,
Japan,2006,100,12.81481481,11.91495199,51,130.8289729,147.52,30.25,504.47,1158.27,31.99,-97.63,235.19,21.17,1190.26,1092.63,249.92,0.27,0.000458448,1.650411796,1.36,4.53038E+12,1.420006556,35433.98896,121625.9359,32594.89861,48614.52843,10216.44779,-1.85,1.589435,41.12459266,0.001921466,0.004597528,1382979,16883282,98709,4422,606120,4041884,5337110,24.76,11.94,2.81,24.96,0,9.12,71.65,71.66,9.99,0.002235615,98.5715648,99.98073093,3.19118E-05,0.069728822,0.040415834,9.11,1.138634,127854000,9.375,1.260638,1.363448,68.39506173,24.76,147.52,30.25,504.47,1170.2,2.81,56.95,-97.62,235.19,30.29,1261.9,1164.29,249.92,9.99,0.018418384,0.064053372,0.007772619,4.1,87.118,0.9541233,,,,,,,,,,,
